url,parameters,hidden_size,num_experts,num_layers,num_attn_heads,num_kv_heads,num_expert_per_tok,expert_size,ignore
zai-org/GLM-4.7,358B,5120,160,92,96,8,8,1536,358
zai-org/GLM-4.6,357B,5120,160,92,96,8,8,1536,357
deepseek-ai/DeepSeek-R1-0528,685B,7168,256,61,128,128,8,2048,685
zai-org/GLM-4.5-Base,358B,5120,160,92,96,8,8,1536,358
Qwen/Qwen1.5-MoE-A2.7B-Chat-GPTQ-Int4,14B,2048,60,24,16,16,4,1408,14
RedHatAI/MiniMax-M2.5-quantized.w4a16,34B,3072,256,62,48,8,8,1536,34
deepseek-ai/deepseek-moe-16b-chat,16B,2048,64,28,16,16,6,1408,16
Salesforce/xLAM-v0.1-r,47B,4096,8,32,32,8,2,14336,47
Qwen/Qwen3-30B-A3B-FP8,31B,2048,128,48,32,4,8,768,31
moonshotai/Moonlight-16B-A3B,16B,2048,64,27,16,16,6,1408,16
Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,31B,2048,128,48,32,4,8,768,31
deepseek-ai/DeepSeek-Coder-V2-Instruct,236B,5120,160,60,128,128,6,1536,236
deepseek-ai/DeepSeek-V3,685B,7168,256,61,128,128,8,2048,685
Qwen/Qwen2-57B-A14B-Instruct,57B,3584,64,28,28,4,8,2560,57
sarvamai/sarvam-30b,32B,4096,128,19,64,4,6,1024,32
RedHatAI/DeepSeek-V3-BF16,684B,7168,256,61,128,128,8,2048,684
sarvamai/sarvam-105b,106B,4096,128,32,64,0,8,2048,106
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,16B,2048,64,27,16,16,6,1408,16
Qwen/Qwen3-235B-A22B-Thinking-2507,235B,4096,128,94,64,4,8,1536,235
HuggingFaceTB/nanowhale-100m,0.1B,320,4,8,8,1,2,640,0
deepseek-ai/DeepSeek-V2-Lite,16B,2048,64,27,16,16,6,1408,16
RedHatAI/NVIDIA-Nemotron-3-Super-120B-A12B-FP8,124B,4096,512,88,32,2,22,2688,124
RedHatAI/MiniMax-M2.5-NVFP4,130B,3072,256,62,48,8,8,1536,130
RedHatAI/DeepSeek-Coder-V2-Base-FP8,236B,5120,160,60,128,128,6,1536,236
Qwen/Qwen3-235B-A22B-Instruct-2507,235B,4096,128,94,64,4,8,1536,235
RedHatAI/MiniMax-M2.5-quantized.w8a8,229B,3072,256,62,48,8,8,1536,229
Qwen/Qwen3-Next-80B-A3B-Instruct,81B,2048,512,48,16,2,10,512,81
zai-org/GLM-5,754B,6144,256,78,64,64,8,2048,754
ibm-granite/granite-3.0-1b-a400m-base,1B,1024,32,24,16,8,8,512,1
deepseek-ai/DeepSeek-R1,685B,7168,256,61,128,128,8,2048,685
moonshotai/Kimi-Linear-48B-A3B-Instruct,49B,2304,256,27,32,32,8,1024,49
ibm-granite/granite-4.0-h-small-FP8,33B,4096,72,40,32,8,10,768,33
Qwen/Qwen3-235B-A22B,235B,4096,128,94,64,4,8,1536,235
RedHatAI/MiniMax-M2.5,229B,3072,256,62,48,8,8,1536,229
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,235B,4096,128,94,64,4,8,1536,235
allenai/BAR-5x7B,25B,4096,5,32,32,32,5,11008,25
Qwen/Qwen2-57B-A14B-Instruct-GPTQ-Int4,57B,3584,64,28,28,4,8,2560,57
RedHatAI/Qwen3-Next-80B-A3B-Instruct-FP8,81B,2048,512,48,16,2,10,512,81
deepseek-ai/DeepSeek-V2-Lite-Chat,16B,2048,64,27,16,16,6,1408,16
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16,124B,4096,512,88,32,2,22,2688,124
deepseek-ai/DeepSeek-V4-Flash,158B,4096,256,43,64,1,6,2048,158
